<< 26/1/2014;20:49:36;4936.9848N;604.2450E;31.06;26.14;958.32;24.46;39.15;;
<< 26/1/2014;20:49:40;4936.9848N;604.2458E;4.19;26.16;958.29;24.45;39.11;;
<< 26/1/2014;20:49:44;4936.9848N;604.2467E;2.00;26.13;958.25;24.46;39.05;;
<< 26/1/2014;20:49:48;4936.9848N;604.2479E;5.29;26.12;958.36;24.46;39.05;;
<< 26/1/2014;20:49:52;4936.9848N;604.2482E;14.06;26.12;958.33;24.45;39.41;;
<< 26/1/2014;20:49:56;4936.9848N;604.2487E;27.23;26.12;958.27;24.48;39.51;;
<< 26/1/2014;20:49:59;4936.9848N;604.2486E;9.68;26.14;958.27;24.47;39.44;;
<< 26/1/2014;20:50:3;4936.9848N;604.2484E;12.42;26.12;958.25;24.52;39.32;;
<< 26/1/2014;20:50:7;4936.9848N;604.2484E;6.39;26.14;958.34;24.54;39.25;;
<< 26/1/2014;20:50:10;4936.9848N;604.2485E;27.23;26.13;958.34;24.53;39.19;;
<< 26/1/2014;20:50:14;4936.9843N;604.2487E;14.06;26.13;958.29;24.53;39.12;;
<< 26/1/2014;20:50:18;4936.9848N;604.2492E;32.16;26.12;958.29;24.55;39.06;;
<< 26/1/2014;20:50:22;4936.9848N;604.2497E;14.06;26.12;958.26;24.54;38.99;;
<< 26/1/2014;20:50:26;4936.9848N;604.2501E;11.32;26.09;958.23;24.53;38.96;;
<< 26/1/2014;20:50:28;4936.9848N;604.2502E;49.16;26.09;958.19;24.54;38.99;;
<< 26/1/2014;20:50:32;4936.9848N;604.2499E;10.77;26.09;958.20;24.54;38.99;;
<< 26/1/2014;20:50:35;4936.9848N;604.2498E;22.84;26.09;958.24;24.54;38.99;;
<< 26/1/2014;20:50:39;4936.9848N;604.2497E;27.77;26.09;958.26;24.53;38.92;;
<< 26/1/2014;20:50:42;4936.9848N;604.2497E;14.06;26.07;958.29;24.54;38.92;;
<< 26/1/2014;20:50:46;4936.9848N;604.2496E;16.26;26.07;958.21;24.52;38.92;;
<< 26/1/2014;20:50:50;4936.9848N;604.2494E;16.81;26.07;958.28;24.51;38.92;;
<< 26/1/2014;20:50:54;4936.9848N;604.2494E;27.77;26.08;958.28;24.49;39.08;;
<< 26/1/2014;20:50:58;4936.9848N;604.2495E;31.61;26.09;958.22;24.47;39.05;;
<< 0/2/2060;20:51:0;4936.9848N;604.2494E;13.52;26.06;958.19;24.46;38.98;;
<< 0/2/2060;20:51:4;4936.9848N;604.2488E;9.13;26.06;958.18;24.46;38.92;;
<< 0/2/2060;20:51:8;4936.9853N;604.2483E;11.32;26.06;958.19;24.47;38.92;;
<< 0/2/2060;20:51:12;4936.9853N;604.2476E;17.35;26.06;958.27;24.46;38.95;;
<< 26/1/2014;20:51:16;4936.9853N;604.2471E;-0.74;26.07;958.24;24.48;39.02;;
<< 26/1/2014;20:51:20;4936.9853N;604.2465E;22.29;26.09;958.24;24.46;38.98;;
<< 26/1/2014;20:51:23;4936.9853N;604.2463E;2.55;26.11;958.22;24.45;38.82;;
<< 26/1/2014;20:51:26;4936.9853N;604.2463E;42.58;26.10;958.26;24.44;38.78;;
<< 26/1/2014;20:51:30;4936.9853N;604.2463E;11.32;26.12;958.21;24.45;38.85;;
<< 26/1/2014;20:51:34;4936.9853N;604.2464E;14.06;26.12;958.17;24.46;38.82;;
<< 26/1/2014;20:51:36;4936.9853N;604.2464E;11.32;26.11;958.17;24.46;38.78;;
<< 26/1/2014;20:51:40;4936.9853N;604.2464E;20.10;26.13;958.21;24.45;38.82;;
<< 26/1/2014;20:51:44;4936.9858N;604.2464E;19.55;26.12;958.25;24.46;38.88;;
<< 26/1/2014;20:51:48;4936.9858N;604.2463E;19.55;26.12;958.17;24.49;38.95;;
<< 26/1/2014;20:51:52;4936.9858N;604.2461E;13.52;26.12;958.27;24.48;38.92;;
<< 26/1/2014;20:51:56;4936.9858N;604.2460E;9.68;26.12;958.20;24.46;38.85;;
<< 26/1/2014;20:52:0;4936.9858N;604.2462E;5.84;26.11;958.25;24.46;38.85;;
<< 26/1/2014;20:52:3;4936.9858N;604.2463E;-2.39;26.13;958.28;24.43;38.85;;
<< 26/1/2014;20:52:6;4936.9858N;604.2464E;19.55;26.12;958.22;24.43;38.88;;
<< 26/1/2014;20:52:10;4936.9863N;604.2466E;21.74;26.12;958.17;24.44;38.85;;
<< 26/1/2014;20:52:12;4936.9863N;604.2468E;17.90;26.12;958.21;24.43;38.88;;
<< 26/1/2014;20:52:16;4936.9863N;604.2468E;11.32;26.16;958.24;24.44;38.88;;
<< 26/1/2014;20:52:20;4936.9863N;604.2468E;12.97;26.15;958.20;24.44;38.91;;
<< 26/1/2014;20:52:24;4936.9863N;604.2470E;10.23;26.14;958.22;24.44;38.98;;
<< 26/1/2014;20:52:28;4936.9863N;604.2470E;21.19;26.14;958.22;24.43;38.95;;
<< 26/1/2014;20:52:32;4936.9863N;604.2471E;19.55;26.15;958.30;24.43;39.01;;
<< 26/1/2014;20:52:36;4936.9863N;604.2471E;11.87;26.14;958.25;24.44;39.04;;
<< 26/1/2014;20:52:40;4936.9868N;604.2472E;-5.68;26.18;958.25;24.44;39.08;;
<< 26/1/2014;20:52:44;4936.9868N;604.2474E;20.65;26.19;958.22;24.45;39.05;;
<< 26/1/2014;20:52:47;4936.9868N;604.2476E;0.90;26.19;958.20;24.45;39.05;;
<< 26/1/2014;20:52:51;4936.9868N;604.2476E;6.94;26.21;958.21;24.45;39.01;;
